,ANÁLISIS / ANALYSES,UNIDADES / UNIT,MIN,MAX,MÉTODO / METHOD,RESULTADOS DE CALIDAD / QUALITY RESULTS,CLIENTE,PRODUCTO,FECHA,NUM PAGINA,ARCHIVO,INCERTIDUMBRE/ UNCERTAINTY %
0,NUMERO DE OCTANO METODO RESEARCH (RON),-,95,-,ASTM D-2699,96.0,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
1,NUMERO DE OCTANO METODO MOTOR (MON),.,82,-,ASTM D-2700,87.4,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
2,CONTENIDO DE PLOMO,G/gal,1,0.02,ASTM D-3237,N/D,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
3,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,1,10.0,ASTM D-323,8.02,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
4,RVP + 0.1 E 70 ° C,1,Reportar,,Calculo,9.74,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
5,DESTILACION 10% VOL. RECUPERADO,0,",",75,ASTM D86,62,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
6,DESTILACION 50% VOL. RECUPERADO,·℃,,121,ASTM D86,110,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
7,DESTILACION 90% VOL. RECUPERADO,°℃,1,190,ASTM D86,159,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
8,PUNTO FINAL,℃,,225,ASTM D86,202,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
9,RESIDUO,% Vol.,,"2,0",ASTM D86,0.5,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
10,RECUPERADO @ 70 °C,% Vol.,Reportar,-,ASTM D86,17.17,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
11,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,1,4,ASTM D-381,0.6,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
12,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
13,CONTENIDO DE AZUFRE,% en Peso,,0.15,ASTM D-4294,N/D,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
14,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No. 1,ASTM D-130,1A,"ATLANTIC BONAO
(ANIANA)",GASOLINA PREMIUM,2023-04-07 15:12:00,1,2023 07 014.pdf,
